time,phase,total,purged,ui_total
19:29:51,seed,64,0,93
19:30:01,seed,668,0,592
19:30:11,idle,670,0,593
19:30:21,idle,687,0,601
19:30:30,idle,696,15,600
19:30:40,idle,699,67,601
19:30:50,idle,704,67,600
19:31:00,switch1,1051,45,866
19:31:10,switch1,1084,49,864
19:31:20,switch1,1116,74,877
19:31:30,switch1,1148,85,889
19:31:40,switch1,1168,143,890
19:31:50,switch1,1472,145,896
19:32:00,switch1,1490,142,896
19:32:11,switch1,1512,171,896
19:32:20,switch1,1532,171,896
19:32:30,switch1,1552,228,895
19:32:40,switch1,1575,426,896
19:32:50,switch1,1596,608,896
19:33:00,switch1,1618,616,897
19:33:09,switch1,1638,660,896
19:33:19,settle1,1647,677,896
19:33:29,settle1,1647,677,896
19:33:39,settle1,1646,679,896
19:33:48,settle1,1647,687,896
19:33:58,settle1,1648,689,896
19:34:08,switch2,1708,696,884
19:34:19,switch2,1744,742,918
19:34:29,switch2,1786,763,890
19:34:39,switch2,1807,761,893
19:34:49,switch2,1830,767,901
19:34:59,switch2,1848,767,901
19:35:09,switch2,1866,849,902
19:35:19,switch2,1885,903,903
19:35:29,switch2,1905,903,903
19:35:39,switch2,1927,903,903
19:35:49,switch2,1946,903,903
19:35:59,switch2,1966,956,905
19:36:10,switch2,1985,956,904
19:36:19,settle2,1997,969,906
19:36:29,settle2,1997,969,906
19:36:39,settle2,1997,969,906
19:36:49,settle2,1997,969,906
19:36:59,settle2,1997,978,906
19:37:08,close,1495,716,620
19:37:18,close,1495,716,620
19:37:28,close,1495,716,620
19:37:37,close,1495,716,620
19:37:47,close,1495,716,620
19:37:57,done,1496,755,620
