time,phase,total,purged,ui_total
20:23:29,seed,29,0,94
20:23:39,seed,714,0,703
20:23:48,idle,789,0,704
20:23:58,idle,792,0,704
20:24:08,idle,794,0,703
20:24:17,idle,797,0,704
20:24:27,idle,802,0,704
20:24:37,switch1,980,0,846
20:24:47,switch1,1150,0,883
20:24:57,switch1,1191,21,872
20:25:07,switch1,1230,271,872
20:25:17,switch1,1233,270,885
20:25:27,switch1,1260,304,869
20:25:37,switch1,1281,303,877
20:25:46,switch1,1302,303,876
20:25:56,switch1,1321,302,876
20:26:06,switch1,1339,472,878
20:26:16,settle1,1341,471,854
20:26:26,settle1,1344,481,854
20:26:35,settle1,1345,481,854
20:26:45,settle1,1348,481,822
20:26:55,switch2,1366,460,866
20:27:05,switch2,1393,460,880
20:27:15,switch2,1489,460,867
20:27:24,switch2,1510,467,876
20:27:34,switch2,1532,469,876
20:27:44,switch2,1553,542,875
20:27:54,switch2,1574,582,875
20:28:04,switch2,1602,614,875
20:28:14,switch2,1620,734,875
20:28:24,switch2,1645,729,872
20:28:34,settle2,1649,728,848
20:28:43,settle2,1651,727,824
20:28:53,settle2,1656,748,824
20:29:03,settle2,1660,747,824
20:29:13,slept,1317,540,628
20:29:22,slept,1321,540,628
20:29:32,slept,1323,540,628
20:29:42,slept,1326,528,640
20:29:52,slept,1327,528,634
20:30:02,done,1328,524,642
