time,phase,total,purged,ui_total
19:21:33,seed,31,0,30
19:21:43,seed,31,0,30
19:21:52,seed,31,0,30
19:22:02,idle,31,0,30
19:22:11,idle,31,0,30
19:22:20,idle,31,0,40
19:22:30,idle,41,0,40
19:22:39,idle,41,0,67
19:22:49,switch1,68,1,67
19:22:58,switch1,68,1,67
19:23:07,switch1,68,1,67
19:23:16,switch1,68,1,67
19:23:26,switch1,68,1,67
19:23:36,switch1,68,1,67
19:23:45,switch1,68,1,67
19:23:55,switch1,68,1,67
19:24:04,switch1,68,1,67
19:24:14,switch1,68,1,67
19:24:24,switch1,68,1,67
19:24:34,switch1,68,1,67
19:24:44,switch1,68,1,67
19:24:53,switch1,68,1,67
19:25:03,settle1,68,1,67
19:25:12,settle1,68,1,67
19:25:22,settle1,68,1,67
19:25:32,settle1,68,1,67
19:25:41,settle1,68,1,67
19:25:50,switch2,68,1,67
19:25:59,switch2,68,1,67
19:26:08,switch2,68,1,67
19:26:17,switch2,68,1,67
19:26:27,switch2,68,1,67
19:26:36,switch2,68,1,67
19:26:46,switch2,68,1,67
19:26:56,switch2,68,1,67
19:27:05,switch2,68,1,67
19:27:14,switch2,68,1,67
19:27:23,switch2,68,2,67
19:27:33,switch2,68,2,67
19:27:42,switch2,68,2,67
19:27:51,switch2,68,2,67
19:28:00,settle2,68,2,67
19:28:09,settle2,68,2,67
19:28:19,settle2,68,2,67
19:28:28,settle2,68,2,67
19:28:37,settle2,68,2,67
19:28:46,close,42,2,40
19:28:55,close,42,2,40
19:29:05,close,42,2,40
19:29:14,close,42,2,40
19:29:24,close,42,2,40
19:29:34,done,42,3,40
