time,phase,total,purged,ui_total
19:59:46,seed,0,0,73
19:59:55,seed,421,0,333
20:00:04,seed,422,0,334
20:00:14,idle,424,0,334
20:00:23,idle,425,0,334
20:00:32,idle,428,0,334
20:00:41,switch1,433,0,314
20:00:51,switch1,438,0,317
20:01:00,switch1,441,0,317
20:01:10,switch1,443,0,317
20:01:19,switch1,445,0,317
20:01:28,switch1,449,0,317
20:01:38,switch1,451,0,317
20:01:47,switch1,452,0,317
20:01:56,switch1,455,6,317
20:02:06,switch1,457,43,317
20:02:15,switch1,458,78,316
20:02:25,switch1,458,82,317
20:02:34,switch1,461,82,317
20:02:43,switch1,463,82,316
20:02:53,switch1,465,82,318
20:03:02,switch1,467,95,318
20:03:12,switch1,483,95,332
20:03:21,switch1,486,94,329
20:03:31,switch1,685,111,430
20:03:41,switch1,686,109,432
20:03:50,switch1,687,107,432
20:04:00,switch1,692,107,432
20:04:10,settle1,695,116,432
20:04:19,settle1,696,116,433
20:04:29,settle1,697,192,433
20:04:39,switch2,699,192,433
20:04:48,switch2,701,192,433
20:04:58,switch2,701,194,433
20:05:07,switch2,701,194,433
20:05:17,switch2,703,194,433
20:05:26,switch2,704,194,433
20:05:36,switch2,705,194,433
20:05:45,switch2,707,194,434
20:05:55,switch2,709,191,434
20:06:04,switch2,709,191,434
20:06:14,switch2,709,191,433
20:06:23,switch2,709,191,433
20:06:33,switch2,709,249,433
20:06:43,switch2,710,249,433
20:06:52,switch2,711,249,434
20:07:02,switch2,712,249,433
20:07:11,switch2,712,249,434
20:07:21,switch2,713,249,445
20:07:32,switch2,715,239,317
20:07:42,switch2,768,193,174
20:07:53,switch2,769,217,174
20:08:03,settle2,769,218,174
20:08:13,settle2,769,233,174
20:08:23,settle2,780,224,290
20:08:33,settle2,788,224,290
20:08:43,close,791,224,290
20:08:53,close,791,287,290
20:09:03,close,791,287,290
20:09:12,done,791,290,290
