time,phase,total,purged,ui_total
19:39:57,seed,101,0,179
19:40:07,seed,528,0,441
19:40:17,seed,530,0,444
19:40:27,idle,533,0,444
19:40:36,idle,535,0,444
19:40:46,idle,538,0,444
19:40:56,idle,542,0,444
19:41:06,switch1,603,0,502
19:41:16,switch1,743,72,513
19:41:26,switch1,764,81,517
19:41:35,switch1,815,81,527
19:41:46,switch1,822,92,537
19:41:56,switch1,842,92,536
19:42:05,switch1,864,92,535
19:42:15,switch1,886,92,537
19:42:25,switch1,906,92,536
19:42:35,switch1,924,92,537
19:42:45,switch1,947,277,538
19:42:55,switch1,970,277,537
19:43:04,switch1,991,277,540
19:43:14,switch1,1015,277,540
19:43:24,settle1,1021,277,540
19:43:34,settle1,1014,277,540
19:43:44,settle1,1019,277,540
19:43:54,settle1,1019,317,540
19:44:03,settle1,1020,317,541
19:44:13,switch2,1084,307,544
19:44:24,switch2,1105,307,544
19:44:34,switch2,1127,511,544
19:44:43,switch2,1146,518,544
19:44:53,switch2,1168,569,544
19:45:03,switch2,1187,593,545
19:45:13,switch2,1208,611,547
19:45:23,switch2,1228,608,548
19:45:33,switch2,1246,608,546
19:45:42,switch2,1264,608,546
19:45:52,switch2,1286,646,548
19:46:02,switch2,1308,646,548
19:46:12,switch2,1329,646,548
19:46:22,settle2,1343,646,549
19:46:32,settle2,1343,646,549
19:46:42,settle2,1343,646,549
19:46:52,settle2,1344,646,549
19:47:02,settle2,1337,646,549
19:47:12,close,1458,689,620
19:47:22,close,1458,692,620
19:47:32,close,1458,692,620
19:47:41,close,1458,692,620
19:47:51,close,1458,715,620
19:48:01,done,1458,741,620
